Acura,NSX-T (NA1),1997,United States of America,89800,Targa,Supercars,Factory,NSX,true,true,Petrol,V6,3179,Naturally Aspirated,294,298,RWD,Manual,6,1470,270,5.7
Acura,NSX Alex Zanardi Edition (NA1),1999,United States of America,123675,Coupé,Supercars,Factory,NSX,true,true,Petrol,V6,3179,Naturally Aspirated,294,298,RWD,Manual,6,1445,270,5.5
Acura,NSX-T (NA2),2001,United States of America,146500,Targa,Supercars,Factory,NSX,false,true,Petrol,V6,3179,Naturally Aspirated,294,304,RWD,Manual,6,1450,270,5.4
Acura,NSX,2016,United States of America,140000,Coupé,Supercars,Factory,NSX,false,true,Full Hybrid (Petrol),V6,3493,Twin Turbocharger,581,646,AWD,Dual-Clutch,9,1725,307,3.0
Acura,NSX Type S,2022,United States of America,230000,Coupé,Supercars,Factory,NSX,false,true,Full Hybrid (Petrol),V6,3493,Twin Turbocharger,608,667,AWD,Dual-Clutch,9,1705,310,2.9
Acura,RDX 2.3,2006,United States of America,9400,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,I4,2321,Single Turbocharger,243,352,FWD,Automatic,5,1779,219,7.4
Acura,RDX 2.3 AWD,2006,United States of America,10200,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,I4,2321,Single Turbocharger,243,352,AWD,Automatic,5,1820,219,6.5
Acura,RDX 3.0,2013,United States of America,17300,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,V6,3000,Naturally Aspirated,267,298,FWD,Manual,6,1700,215,7.2
Acura,RDX 3.5 AWD,2013,United States of America,20000,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,V6,3471,Naturally Aspirated,277,341,AWD,Automatic,6,1750,217,6.3
Acura,RDX 3.5 AWD,2016,United States of America,26000,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,V6,3471,Naturally Aspirated,283,342,AWD,Automatic,6,1770,217,6.3
Acura,RDX AWD,2018,United States of America,40295,S.U.V.,S.U.V.,Factory,RDX,false,true,Petrol,I4,1996,Single Turbocharger,276,380,AWD,Automatic,10,1716,230,6.5
Acura,RL (KA9),1996,United States of America,10350,Mid-Size,Saloons,Factory,RL,true,true,Petrol,V6,3474,Naturally Aspirated,213,304,FWD,Automatic,4,1660,215,8.5
Acura,RL (KA9),2001,United States of America,11295,Mid-Size,Saloons,Factory,RL,false,true,Petrol,V6,3474,Naturally Aspirated,228,313,FWD,Automatic,4,1750,219,8.5
